topic,currentName,proposedName,foundInFile,foundAtLine,isDuplicate,duplicateOfFileAndLine
tasks,pairIn,buildTaskFilePair,scripts/taskFiles.ts,10,no,
tasks,resolveTaskFiles,resolveTaskFilePair,scripts/taskFiles.ts,16,no,
tasks,seedTaskFilesIfAbsent,seedTaskFilesIfAbsent,scripts/taskFiles.ts,26,no,
tasks,leadingTaskNumbers,parseLeadingTaskNumbers,scripts/taskFiles.ts,39,no,
tasks,readTaskFile,readTaskFile,scripts/taskFiles.ts,49,no,
tasks,(none),loadTaskFiles,(new),,yes,scripts/getTaskDetails.ts:15;scripts/viewTaskHook.ts:42;scripts/taskStats.ts:105;scripts/nextTaskNumber.ts:6
tasks,(none),listTaskNumbers,(new),,no,
tasks,(none),readTaskTitle,(new),,no,
tasks,(none),readTaskDescription,(new),,no,
tasks,(none),readTaskFiles,(new),,no,
tasks,(none),readTaskHandoffFilePaths,(new),,no,
tasks,(none),readTaskBlockedBy,(new),,no,
tasks,(none),readTaskRecord,(new),,no,
tasks,describeTask,findTaskByNumber,scripts/getTaskDetails.ts,7,yes,scripts/viewTaskHook.ts:24
tasks,describeTask,findTaskByNumber,scripts/viewTaskHook.ts,24,yes,scripts/getTaskDetails.ts:7
tasks,formatTask,formatTaskAsText,scripts/viewTaskHook.ts,9,no,
tasks,listTaskTitles,listTaskTitles,scripts/getTaskDetails.ts,18,no,
blockers,openBlockersOf,findOpenBlockers,scripts/taskStats.ts,24,yes,scripts/checkBlockers.ts:15;scripts/prepareTasks.ts:35;scripts/runStartup.ts:12
blockers,openBlockersOf,findOpenBlockers,scripts/checkBlockers.ts,15,yes,scripts/taskStats.ts:24;scripts/prepareTasks.ts:35;scripts/runStartup.ts:12
blockers,getOpenBlockers,findOpenBlockers,scripts/prepareTasks.ts,35,yes,scripts/taskStats.ts:24;scripts/checkBlockers.ts:15;scripts/runStartup.ts:12
blockers,openBlockersOf,findOpenBlockers,scripts/runStartup.ts,12,yes,scripts/taskStats.ts:24;scripts/checkBlockers.ts:15;scripts/prepareTasks.ts:35
